episode,steps,episode_time_s,total_reward,success,terminal_reason,detection_uptime_pct,avg_confidence,final_distance,epsilon,q_table_size,avg_q_delta
1,320,40.62446999549866,-237.70000000000016,False,reached_bottom,0.0,0.0,1.5207473484310159,1.0,18374,0.1324534695902473
2,261,37.999690771102905,-135.02000000000004,False,reached_bottom,0.0,0.0,0.8581125143428218,0.9936666666666667,18425,0.04613546921133399
3,271,39.35350275039673,-187.13999999999993,False,reached_bottom,0.0,0.0,0.3849432306397318,0.9873333333333333,18539,0.24813545795196318
4,283,38.93828630447388,-155.5399999999999,False,reached_bottom,0.0,0.0,0.7524366466999111,0.981,18648,0.05663552276798298
5,302,38.43619966506958,-219.61999999999995,False,reached_bottom,0.0,0.0,2.26285877515257,0.9746666666666667,18671,0.05746973319567986
6,300,37.7641065120697,-267.03999999999985,False,reached_bottom,0.0,0.0,2.9273371167146034,0.9683333333333334,18713,0.07076025557310653
7,282,38.003578424453735,-193.93000000000004,False,reached_bottom,0.0,0.0,1.7604893844906744,0.962,18730,0.05779059824362783
8,259,37.78628921508789,-126.03,False,reached_bottom,0.0,0.0,0.6120235869517164,0.9556666666666667,18822,0.07114295449903724
9,273,39.41952443122864,12.559999999999945,True,success,0.0,0.0,0.07614807517815596,0.9493333333333334,18902,0.2588057903605362
10,261,38.004390239715576,252.10000000000025,False,reached_bottom,0.0,0.0,0.20932096203177245,0.9430000000000001,18971,0.42747951333643236
11,272,38.237407207489014,-223.26000000000005,False,reached_bottom,0.0,0.0,0.9258518033633051,0.9366666666666666,19063,0.34422613360698406
12,258,37.53510665893555,-16.540000000000024,False,reached_bottom,0.0,0.0,0.2615753143614877,0.9303333333333333,19118,0.3090354920294259
13,277,38.17940044403076,-166.4699999999999,False,reached_bottom,0.0,0.0,0.3263424602521192,0.924,19175,0.3348741694886695
14,298,37.65685153007507,-207.2599999999999,False,reached_bottom,0.0,0.0,2.019953040346036,0.9176666666666666,19228,0.06217463469729315
15,281,37.67564606666565,-150.71,False,reached_bottom,0.0,0.0,0.6922116648876969,0.9113333333333333,19295,0.07625407297446642
16,293,38.37327527999878,-182.96000000000004,False,reached_bottom,0.0,0.0,1.4665103354023317,0.905,19304,0.053302001904559464
17,286,39.002808809280396,-175.70000000000002,False,reached_bottom,0.0,0.0,1.310834941296789,0.8986666666666667,19342,0.0778192757307049
18,286,37.68618655204773,-171.67999999999984,False,reached_bottom,0.0,0.0,1.122032730429865,0.8923333333333333,19364,0.049102102118510904
19,301,38.18878507614136,-174.11000000000004,False,reached_bottom,0.0,0.0,0.9404435960733583,0.886,19380,0.04994285091872643
20,285,38.85699510574341,-213.75999999999996,False,reached_bottom,0.0,0.0,1.5693379211591982,0.8796666666666667,19389,0.07742475891245815
21,265,38.65028762817383,-164.98000000000002,False,reached_bottom,0.0,0.0,0.45822805941703804,0.8733333333333333,19474,0.290230664117122
22,254,36.98729085922241,-13.02999999999999,False,reached_bottom,0.0,0.0,0.3959853810947535,0.867,19554,0.41405944998981115
23,290,39.223637104034424,-229.97999999999982,False,reached_bottom,0.0,0.0,1.7253878426482925,0.8606666666666667,19627,0.07315429241548681
24,272,38.41265821456909,-232.49,False,reached_bottom,0.0,0.0,1.4325715340701348,0.8543333333333334,19716,0.38191281252466475
25,284,37.1560001373291,-210.20000000000007,False,reached_bottom,0.0,0.0,1.6943594275675011,0.848,19746,0.09056334654763147
26,284,37.46446514129639,-199.10999999999984,False,reached_bottom,0.0,0.0,1.680824563484415,0.8416666666666667,19777,0.05625681052422782
27,310,38.37576150894165,-271.4299999999999,False,reached_bottom,0.0,0.0,2.3567958127915327,0.8353333333333334,19787,0.12312894172711286
28,298,37.493038177490234,-218.4299999999999,False,reached_bottom,0.0,0.0,1.5235788446402418,0.829,19909,0.0622446929437846
29,261,38.030821561813354,126.77999999999987,False,reached_bottom,0.0,0.0,0.6184564799575892,0.8226666666666667,19941,0.4464311088452721
30,269,38.71309757232666,-172.85000000000005,False,reached_bottom,0.0,0.0,0.9420264969234824,0.8163333333333334,19975,0.0620424597942039
31,265,38.69030499458313,-82.39999999999999,False,reached_bottom,0.0,0.0,0.5723467501133674,0.81,20036,0.32890857863154
32,258,37.69022464752197,-163.11,False,reached_bottom,0.0,0.0,0.822183766117503,0.8036666666666666,20113,0.17637228061478125
33,293,36.95707821846008,-261.1599999999999,False,reached_bottom,0.0,0.0,2.183638067312663,0.7973333333333333,20140,0.07490355590177598
34,288,39.097187519073486,-180.39000000000004,False,reached_bottom,0.0,0.0,0.7374199726962276,0.791,20171,0.18299365524491795
35,304,38.640697717666626,-215.37999999999994,False,reached_bottom,0.0,0.0,1.0916567555575667,0.7846666666666666,20201,0.06989219556477558
36,307,38.87541151046753,-165.18,False,reached_bottom,0.0,0.0,0.7434678095789115,0.7783333333333333,20353,0.04734672640906466
37,271,39.18035697937012,-178.26000000000002,False,reached_bottom,0.0,0.0,1.0318855477577908,0.772,20400,0.09522887306686771
38,282,38.2642297744751,-152.15000000000003,False,reached_bottom,0.0,0.0,1.5010864497498888,0.7656666666666667,20479,0.054161282832588996
39,261,37.8568799495697,-202.26999999999998,False,reached_bottom,0.0,0.0,0.9447588382188589,0.7593333333333333,20526,0.18856020560108747
40,1,1.2218968868255615,-0.06,False,reached_bottom,0.0,0.0,0.8841199517187838,0.753,20527,0.006
41,266,38.75010132789612,-64.68,False,reached_bottom,0.0,0.0,0.5266412944709561,0.7466666666666667,20583,0.2894345458708921
42,267,38.642550468444824,-141.50000000000009,False,reached_bottom,0.0,0.0,0.7525593977620397,0.7403333333333333,20631,0.05155176356717852
43,287,38.77552556991577,-127.94999999999999,False,reached_bottom,0.0,0.0,1.2553816032081218,0.734,20691,0.35909514790471647
44,269,39.09754681587219,-46.95,False,reached_bottom,0.0,0.0,0.5162225841310845,0.7276666666666667,20742,0.3729196095933941
45,264,37.205639600753784,-65.69000000000003,False,reached_bottom,0.0,0.0,0.9030027420078496,0.7213333333333334,20790,0.31151880551300526
46,267,36.75259327888489,-187.52999999999994,False,reached_bottom,0.0,0.0,1.1515355509479255,0.7150000000000001,20852,0.3273613125234235
47,308,38.97303056716919,-127.54000000000005,False,reached_bottom,0.0,0.0,0.9537024047529532,0.7086666666666668,20872,0.032060084821908086
48,260,37.88969421386719,86.63999999999994,False,reached_bottom,0.0,0.0,0.1872837179676869,0.7023333333333333,20909,0.3410834275646979
49,299,39.07597899436951,-167.70000000000007,False,reached_bottom,0.0,0.0,1.3597381641987827,0.696,20931,0.04846035432976634
50,291,39.29034447669983,-209.36000000000004,False,reached_bottom,0.0,0.0,1.3498738300753792,0.6896666666666667,20960,0.0635539120094169
51,260,37.29698181152344,-185.33999999999995,False,reached_bottom,0.0,0.0,1.266555969043661,0.6833333333333333,21084,0.09339761151387621
52,281,38.74349594116211,-192.08000000000013,False,reached_bottom,0.0,0.0,1.5670585469657274,0.677,21096,0.08134870281805824
53,274,38.56288814544678,-203.99000000000007,False,reached_bottom,0.0,0.0,1.9353466909723585,0.6706666666666667,21172,0.10382703583366337
54,272,38.15167164802551,-185.55999999999997,False,reached_bottom,0.0,0.0,1.2819779876697217,0.6643333333333333,21264,0.06459636524343479
55,287,39.57263517379761,-217.73999999999987,False,reached_bottom,0.0,0.0,0.9170769917130004,0.658,21282,0.20723245173936147
56,288,38.70676231384277,-177.2500000000001,False,reached_bottom,0.0,0.0,0.7430671529749701,0.6516666666666667,21331,0.18981306269978632
57,281,39.975199937820435,-201.2900000000002,False,reached_bottom,0.0,0.0,1.4260791494832057,0.6453333333333333,21376,0.10990770162722209
58,285,38.94224452972412,-225.66,False,reached_bottom,0.0,0.0,1.9625998767820991,0.639,21415,0.06769736870876657
